"snapshotDate","snapshotAt","email","prompts24h","proposed","confirmed","blocked","streamRequests","streamCompletions","streamRatio","medianChatLatencyMs","medianStreamFirstTokenLatencyMs"
"2026-03-02","2026-03-02T08:50:31.5422457+02:00","partner.a@company.com","16","15","10","1","1","1","1/1","2","2"
"2026-03-02","2026-03-02T08:50:31.5422457+02:00","partner.b@company.com","4","3","2","1","1","1","1/1","1","2"
"2026-03-02","2026-03-02T09:19:20.4012362+02:00","partner.a@company.com","16","15","10","1","1","1","1/1","2","2"
"2026-03-02","2026-03-02T09:19:20.4012362+02:00","partner.b@company.com","4","3","2","1","1","1","1/1","1","2"
"2026-03-02","2026-03-02T09:29:13.9732403+02:00","partner.a@company.com","16","15","10","1","1","1","1/1","2","2"
"2026-03-02","2026-03-02T09:29:13.9732403+02:00","partner.b@company.com","4","3","2","1","1","1","1/1","1","2"
"2026-03-02","2026-03-02T09:29:49.8623017+02:00","partner.a@company.com","16","15","10","1","1","1","1/1","2","2"
"2026-03-02","2026-03-02T09:29:49.8623017+02:00","partner.b@company.com","4","3","2","1","1","1","1/1","1","2"
"2026-03-02","2026-03-02T09:34:03.3353189+02:00","partner.a@company.com","16","15","10","1","1","1","1/1","2","2"
"2026-03-02","2026-03-02T09:34:03.3353189+02:00","partner.b@company.com","4","3","2","1","1","1","1/1","1","2"
"2026-03-02","2026-03-02T09:40:33.7148080+02:00","partner.a@company.com","16","15","10","1","1","1","1/1","2","2"
"2026-03-02","2026-03-02T09:40:33.7148080+02:00","partner.b@company.com","4","3","2","1","1","1","1/1","1","2"
"2026-03-02","2026-03-02T09:47:08.2449517+02:00","partner.a@company.com","16","15","10","1","1","1","1/1","2","2"
"2026-03-02","2026-03-02T09:47:08.2449517+02:00","partner.b@company.com","4","3","2","1","1","1","1/1","1","2"
"2026-03-02","2026-03-02T09:56:30.1975693+02:00","partner.a@company.com","16","15","10","1","1","1","1/1","2","2"
"2026-03-02","2026-03-02T09:56:30.1975693+02:00","partner.b@company.com","4","3","2","1","1","1","1/1","1","2"
"2026-03-02","2026-03-02T10:48:58.6156118+02:00","partner.a@company.com","16","15","10","1","1","1","1/1","2","2"
"2026-03-02","2026-03-02T10:48:58.6156118+02:00","partner.b@company.com","4","3","2","1","1","1","1/1","1","2"
